,Name,Location,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,Price
2624,Hyundai Grand i10 CRDi SportZ Edition,Kochi,2015,66337,Diesel,Manual,First,24.0,1120.0,70.0,5.0,4.96
3194,Mini Cooper 3 DOOR D,Kochi,2015,27641,Diesel,Automatic,Second,20.7,1496.0,113.98,4.0,24.77
341,Toyota Corolla H4,Kolkata,2008,80000,Petrol,Automatic,First,11.3,1794.0,125.0,5.0,2.8
3897,Volkswagen Vento Petrol Highline,Pune,2013,65000,Petrol,Manual,Second,15.04,1598.0,103.6,5.0,4.5
2098,Hyundai Grand i10 1.2 Kappa Sportz,Ahmedabad,2015,20780,Petrol,Manual,First,18.9,1197.0,81.86,5.0,4.3
2575,Chevrolet Tavera LS B3 10 Seats BSIII,Hyderabad,2015,120000,Diesel,Manual,First,14.8,2499.0,80.0,10.0,5.5
4271,Honda City 1.5 V AT,Delhi,2010,62000,Petrol,Automatic,First,16.8,1497.0,118.0,5.0,3.55
5970,Mercedes-Benz GLA Class 200 Sport,Kochi,2018,17773,Petrol,Automatic,First,13.7,1991.0,183.0,5.0,26.76
1382,Maruti Wagon R LXI Minor,Pune,2009,120000,Petrol,Manual,First,18.9,998.0,67.1,5.0,1.69
2414,Volkswagen Polo 1.5 TDI Highline,Kolkata,2016,22000,Diesel,Manual,First,20.14,1498.0,88.0,5.0,6.29
820,Chevrolet Aveo 1.4 LT ABS BSIV,Pune,2010,80000,Petrol,Manual,First,14.49,1399.0,92.7,5.0,1.79
785,Maruti Wagon R VXI BS IV,Bangalore,2010,81245,Petrol,Manual,First,18.9,998.0,67.1,5.0,2.45
3222,Toyota Fortuner 4x2 Manual,Delhi,2013,71000,Diesel,Manual,First,13.0,2982.0,168.5,7.0,15.25
5891,Tata Indigo CS eGLX BS IV,Pune,2015,83000,Petrol,Manual,First,15.64,1193.0,64.08,5.0,2.7
5758,Maruti Baleno Zeta 1.2,Chennai,2017,43917,Petrol,Manual,First,21.4,1197.0,83.1,5.0,6.8
5147,Mahindra Scorpio SLE BSIV,Pune,2012,99000,Diesel,Manual,Third,12.05,2179.0,120.0,8.0,6.0
2048,Maruti Ritz AT,Hyderabad,2012,57788,Petrol,Automatic,First,17.16,1197.0,85.8,5.0,3.6
45,Toyota Corolla Altis G AT,Mumbai,2016,52001,Petrol,Automatic,First,14.28,1798.0,138.03,5.0,10.11
2535,Maruti Swift Dzire Vdi BSIV,Hyderabad,2016,69000,Diesel,Manual,First,19.3,1248.0,73.9,5.0,4.79
5567,Volkswagen Vento 2013-2015 1.6 Comfortline,Kolkata,2014,17000,Petrol,Manual,First,15.04,1598.0,103.2,5.0,4.25
2813,Honda City i DTEC VX,Jaipur,2014,74000,Diesel,Manual,Second,25.1,1498.0,98.6,5.0,6.4
563,BMW 3 Series 320d Luxury Line,Bangalore,2014,47000,Diesel,Automatic,First,18.88,1995.0,184.0,5.0,25.5
616,Hyundai EON Era Plus,Hyderabad,2015,68764,Petrol,Manual,First,21.1,814.0,55.2,5.0,2.9
1045,Hyundai Grand i10 Asta Option,Coimbatore,2016,44178,Petrol,Manual,First,18.9,1197.0,82.0,5.0,5.88
1962,Toyota Innova 2.5 VX (Diesel) 7 Seater,Ahmedabad,2015,70000,Diesel,Manual,First,12.99,2494.0,100.6,7.0,12.0
2044,Audi A4 2.0 TDI,Delhi,2013,67000,Diesel,Automatic,First,16.55,1968.0,147.51,5.0,14.5
1151,Jaguar XF 3.0 Litre S Premium Luxury,Bangalore,2011,65000,Diesel,Automatic,First,14.74,2993.0,270.9,5.0,16.0
3432,Ford Figo Aspire 1.2 Ti-VCT Ambiente,Chennai,2015,32200,Petrol,Manual,Second,18.16,1196.0,86.8,5.0,4.25
1612,Chevrolet Aveo U-VA 1.2 LS,Mumbai,2008,75000,Petrol,Manual,Second,15.26,1150.0,74.9,5.0,1.15
5146,Audi Q7 3.0 TDI quattro,Coimbatore,2014,118218,Diesel,Automatic,First,12.07,2967.0,241.4,7.0,31.41
5724,Chevrolet Cruze LTZ,Coimbatore,2014,64042,Diesel,Manual,First,17.3,1998.0,163.7,5.0,5.7
2338,Hyundai i20 1.4 CRDi Sportz,Bangalore,2012,67000,Diesel,Manual,First,23.0,1396.0,90.0,5.0,4.5
5168,Maruti Wagon R LXI,Jaipur,2007,71000,Petrol,Manual,Second,18.9,998.0,67.1,5.0,1.5
2995,Hyundai i10 Magna AT,Bangalore,2008,58483,Petrol,Automatic,Second,19.2,1197.0,80.0,5.0,2.95
3077,Tata Tiago Wizz 1.05 Revotorq,Hyderabad,2017,53000,Diesel,Manual,First,27.28,1047.0,69.0,5.0,5.0
2178,Land Rover Discovery HSE Luxury 3.0 TD6,Mumbai,2017,35000,Diesel,Automatic,First,18.0,2993.0,255.0,7.0,41.6
